year,month,gr_levering,sunny_produced,gr_opwekking,Total used,euro kwh, consumed euro ex vat,consumed Euro incl vat, produced euro ex vat,produced Euro incl vat
2018,jan,420,0,0,420,0.05250,22.05,26.6805,0,0
2018,feb,384,0,0,384,0.05250,20.16,24.3936,0,0
2018,mar,410,0,0,410,0.05250,21.525,26.04525,0,0
2018,apr,206,0,0,206,0.05250,10.815,13.08615,0,0
2018,may,203,0,0,203,0.05250,10.6575,12.895575,0,0
2018,jun,165,0,0,165,0.05250,8.6625,10.481625,0,0
2018,jul,191,0,0,191,0.05250,10.0275,12.133275,0,0
2018,aug,205,0,0,205,0.05250,10.7625,13.022625,0,0
2018,sep,186,152,127,211,0.05250,11.0775,13.403775,7.98,9.6558
2018,oct,203,302,230,275,0.05250,14.4375,17.469375,15.855,19.18455
2018,nov,367,101,48,420,0.05250,22.05,26.6805,5.3025,6.416025
2018,dec,403,56,13,446,0.05250,23.415,28.33215,2.94,3.5574
2019,jan,344,80,32,392,0.05250,20.58,24.9018,4.2,5.082
2019,feb,286,234,145,375,0.05250,19.6875,23.821875,12.285,14.86485
2019,mar,278,306,188,396,0.05250,20.79,25.1559,16.065,19.43865
2019,apr,128,591,513,206,0.05250,10.815,13.08615,31.0275,37.543275
2019,may,122,649,556,215,0.05250,11.2875,13.657875,34.0725,41.227725
2019,jun,102,758,698,162,0.05250,8.505,10.29105,39.795,48.15195
2019,jul,102,711,620,193,0.05250,10.1325,12.260325,37.3275,45.166275
2019,aug,0,0,0,0,0,0,0,0,0
2019,sep,0,0,0,0,0,0,0,0,0
2019,oct,0,0,0,0,0,0,0,0,0
2019,nov,0,0,0,0,0,0,0,0,0
2019,dec,0,0,0,0,0,0,0,0,0
