 ;"Smith, Heeze / Vermogen / Gemiddelde waarden  [kW]0"
00:15;"0,000"
00:30;"0,000"
00:45;"0,000"
01:00;"0,000"
01:15;"0,000"
01:30;"0,000"
01:45;"0,000"
02:00;"0,000"
02:15;
02:30;
02:45;
03:00;
03:15;"0,000"
03:30;"0,000"
03:45;"0,000"
04:00;"0,000"
04:15;"0,000"
04:30;"0,000"
04:45;"0,000"
05:00;"0,000"
05:15;"0,000"
05:30;"0,000"
05:45;"0,000"
06:00;"0,000"
06:15;"0,000"
06:30;"0,000"
06:45;"0,000"
07:00;"0,000"
07:15;"0,000"
07:30;"0,000"
07:45;"0,000"
08:00;"0,000"
08:15;"0,008"
08:30;"0,052"
08:45;"0,184"
09:00;"0,468"
09:15;"0,820"
09:30;"1,188"
09:45;"1,796"
10:00;"2,248"
10:15;"1,364"
10:30;"1,212"
10:45;"1,320"
11:00;"2,108"
11:15;"2,240"
11:30;"2,976"
11:45;"3,476"
12:00;"3,372"
12:15;"2,340"
12:30;"1,612"
12:45;"2,596"
13:00;"3,108"
13:15;"2,280"
13:30;"2,824"
13:45;"2,016"
14:00;"1,928"
14:15;"2,432"
14:30;"1,936"
14:45;"1,668"
15:00;"1,412"
15:15;"1,268"
15:30;"1,008"
15:45;"0,764"
16:00;"0,712"
16:15;"0,548"
16:30;"0,496"
16:45;"0,436"
17:00;"0,400"
17:15;"0,380"
17:30;"0,352"
17:45;"0,332"
18:00;"0,316"
18:15;"0,284"
18:30;"0,252"
18:45;"0,212"
19:00;"0,172"
19:15;"0,128"
19:30;"0,080"
19:45;"0,044"
20:00;"0,012"
20:15;"0,000"
20:30;"0,000"
20:45;"0,000"
21:00;"0,000"
21:15;"0,000"
21:30;"0,000"
21:45;"0,000"
22:00;"0,000"
22:15;"0,000"
22:30;"0,000"
22:45;"0,000"
23:00;"0,000"
23:15;"0,000"
23:30;"0,000"
23:45;"0,000"
00:00;"0,000"
